x,y
0.0,0.0
0.19047619047619047,0.9523809523809523
0.38095238095238093,1.9047619047619047
0.5714285714285714,2.8571428571428568
0.9523809523809523,4.761904761904762
1.1428571428571428,5.7142857142857135
1.3333333333333333,6.666666666666666
1.5238095238095237,7.619047619047619
1.9047619047619047,9.523809523809524
2.0,10.5
2.0,11.5
2.0,12.5
2.0,14.5
2.0,15.5
2.0,16.5
2.0,17.5
2.0,19.5
2.0,20.5
2.0,21.5
2.0,22.5
2.0,24.5
2.0,25.5
2.0,26.5
2.0,27.5
2.0,29.5
2.0,30.5
2.0,31.5
2.0,32.5
2.0,34.5
2.0,35.5
2.0,36.5
2.0,38.5
2.0,39.5
2.0,40.5
2.0,41.5
2.0,43.5
2.0,44.5
2.0,45.5
2.0,46.5
2.0,48.5
2.0,49.5
2.0,50.5
2.0,51.5
2.0,53.5
2.0,54.5
2.0,55.5
2.0,56.5
2.0,58.5
2.0,59.5
2.0,60.5
2.0,61.5
2.0,63.5
2.0,64.5
2.0,65.5
2.0,66.5
2.0,68.5
2.0,69.5
2.0,70.5
2.0,71.5
2.0,73.5
2.0,74.5
2.0,75.5
2.0,77.5
2.0,78.5
2.0,79.5
2.0,80.5
2.0,82.5
2.0,83.5
2.0,84.5
2.0,85.5
2.0,87.5
2.0,88.5
2.0,89.5
2.0,90.5
2.0,92.5
2.0,93.5
2.0,94.5
2.0,95.5
2.0,97.5
2.0,98.5
2.0,99.5
2.0,100.5
2.0,102.5
2.0,103.5
2.0,104.5
2.0,105.5
2.0,107.5
2.0,108.5
2.0,109.5
2.0,111.5
2.0,112.5
2.0,113.5
2.0,114.5
2.0,116.5
2.0,117.5
2.0,118.5
2.0,119.5
2.0,121.5
2.0,122.5
2.0,123.5
2.0,124.5
2.0,126.5
2.0,127.5
2.0,128.5
2.0,129.5
2.0,131.5
2.0,132.5
2.0,133.5
2.0,134.5
2.0,136.5
2.0,137.5
2.0,138.5
2.0,139.5
2.0,75.0
2.0,118.33333333333334
2.05,140.0
2.15,140.0
2.05,140.0
2.15,140.0
2.25,140.0
2.3,75.0
2.3,31.666666666666657
2.668024096385542,10.337995983935743
3.4040722891566264,11.013987951807229
